	icao	latitude	longitude	pm10
276	DRZR	13.77888888888889	8.98361111111111	315.17
277	DTMB	35.75805555555556	10.754722222222222	5.58
278	DTTA	36.850833333333334	10.226944444444445	10.28
279	DTTF	34.42194444444444	8.8225	3.91
280	DTTG	33.876666666666665	10.103333333333333	10.08
281	DTTJ	33.875	10.775277777777779	3.88
282	DTTR	31.704166666666666	9.254444444444445	67.69
283	DTTX	34.717777777777776	10.690833333333334	6.32
284	DTTZ	33.939722222222215	8.110555555555555	23.72
285	DXNG	9.767222222222223	1.0911111111111111	260.13
286	DXXX	6.165555555555556	1.2538888888888888	121.84
287	EBAW	51.19	4.462777777777778	2.54
288	EBBR	50.90222222222222	4.498611111111111	3.07
289	EBCI	50.45916666666667	4.453611111111111	3.08
290	EBKT	50.81777777777778	3.2083333333333335	2.92
291	EBLG	50.63722222222222	5.4430555555555555	3.04
292	EBOS	51.19888888888889	2.8622222222222224	2.47
293	EDAB	51.19333333333333	14.519722222222223	0.57
294	EDAC	50.98166666666667	12.50611111111111	0.61
295	EDBG	35.46055555555556	-77.96472222222222	4.2
296	EDDB	52.38	13.5225	0.71
297	EDDC	51.1325	13.766944444444444	0.58
298	EDDE	50.980000000000004	10.958055555555555	0.67
299	EDDF	50.02638888888889	8.543055555555556	1.73
300	EDDG	52.13444444444444	7.684722222222223	1.04
301	EDDH	53.63027777777778	9.988055555555555	0.99
302	EDDI	52.47277777777778	13.40388888888889	0.82
303	EDDK	50.865833333333335	7.1425	2.67
304	EDDL	51.28944444444444	6.766666666666667	1.03
305	EDDM	48.353611111111114	11.785833333333333	1.49
306	EDDN	49.49861111111111	11.078055555555554	1.5
307	EDDP	51.42388888888889	12.23611111111111	0.59
308	EDDR	49.214444444444446	7.109444444444444	2.04
309	EDDS	48.689722222222215	9.221944444444444	2.05
310	EDDT	52.559444444444445	13.2875	0.83
311	EDDV	52.46083333333333	9.685	0.79
312	EDDW	53.0475	8.786666666666667	1.73
313	EDFH	49.94972222222222	7.263888888888889	1.43
314	EDFM	49.472500000000004	8.51361111111111	2.01
315	EDHI	53.53527777777778	9.835277777777778	0.86
316	EDHK	54.379444444444445	10.145	1.29
317	EDHL	53.805277777777775	10.719166666666666	1.37
318	EDKA	50.82277777777778	6.187222222222222	1.72
319	EDLA	51.483333333333334	7.899166666666666	1.49
320	EDLE	51.40138888888889	6.935833333333334	0.85
321	EDLN	51.23027777777778	6.504444444444444	0.74
322	EDLP	51.61416666666667	8.616111111111111	0.87
323	EDLW	51.518055555555556	7.612222222222222	1.61
324	EDMA	48.425	10.931666666666667	0.95
325	EDMO	48.081388888888895	11.283333333333333	1.16
326	EDNY	47.67111111111111	9.511388888888888	1.75
327	EDOP	53.426944444444445	11.783333333333333	0.88
328	EDQD	49.98416666666667	11.638333333333334	0.95
329	EDQM	50.28861111111111	11.854722222222222	1.02
330	EDRK	50.32472222222223	7.530833333333334	1.58
331	EDRT	49.86333333333334	6.788888888888889	1.46
332	EDRY	49.302499999999995	8.45111111111111	1.97
333	EDTB	48.79111111111111	8.186944444444444	2.12
334	EDTD	47.973055555555554	8.522222222222224	0.99
335	EDVE	52.31916666666667	10.556111111111111	0.74
336	EDVK	51.40833333333333	9.377500000000001	0.65
337	EDWB	53.50333333333333	8.573333333333332	1.31
338	EDWD	53.143055555555556	8.623333333333333	1.73
339	EDWE	53.39111111111111	7.227222222222222	2.05
340	EDWI	53.50472222222222	8.053333333333335	1.69
341	EDWR	53.59527777777778	6.7091666666666665	2.72
342	EDWY	53.70666666666667	7.23	2.6
343	EDXW	54.91305555555555	8.340277777777779	2.25
344	EETN	59.41305555555555	24.83277777777778	4.28
345	EFET	68.3625	23.424166666666668	0.53
346	EFHA	61.85583333333334	24.78638888888889	0.77
347	EFHF	60.254444444444445	25.04277777777778	9.82
348	EFHK	60.32	24.95611111111111	6.21
349	EFIV	68.60722222222222	27.405277777777776	0.52
350	EFJO	62.65888888888889	29.624444444444446	0.54
351	EFJY	62.39944444444444	25.678055555555556	0.68
352	EFKA	63.12694444444445	23.05138888888889	0.6
353	EFKE	65.78166666666667	24.598888888888887	0.57
354	EFKI	64.28527777777778	27.692222222222224	0.55
355	EFKK	63.721111111111114	23.143055555555556	0.53
356	EFKS	65.9875	29.239166666666666	0.52
357	EFKT	67.70083333333334	24.846666666666664	0.51
358	EFKU	63.00694444444444	27.797500000000003	0.53
359	EFLP	61.044444444444444	28.144166666666667	0.81
360	EFMA	60.121944444444445	19.898055555555555	2.13
361	EFMI	61.686388888888885	27.201666666666664	0.71
362	EFOU	64.93	25.354444444444447	0.97
363	EFPO	61.461666666666666	21.799722222222226	0.78
364	EFRO	66.56472222222222	25.830277777777777	0.54
365	EFSA	61.94305555555555	28.945	0.66
366	EFSO	67.39500000000001	26.61888888888889	0.53
367	EFTP	61.413888888888884	23.604166666666668	1.68
368	EFTU	60.513888888888886	22.262777777777778	5.48
369	EFUT	60.896388888888886	26.938333333333333	1.85
370	EFVA	63.051111111111105	21.761388888888888	0.65
371	EFVR	62.17111111111111	27.86861111111111	0.73
372	EGAA	54.6575	-6.215833333333333	3.11
373	EGAB	54.39888888888889	-7.651666666666667	4.06
374	EGAC	54.61805555555556	-5.8725000000000005	2.76
375	EGAE	55.04277777777778	-7.161111111111111	4.48
376	EGBB	52.453611111111115	-1.7477777777777779	2.06
377	EGBE	52.36972222222222	-1.4797222222222224	2.22
378	EGBJ	51.89416666666666	-2.167222222222222	2.55
379	EGCC	53.353611111111114	-2.274722222222222	2.32
380	EGDG	50.440555555555555	-4.995277777777778	11.2
381	EGDL	51.505	-1.9933333333333334	2.61
382	EGDY	51.009166666666665	-2.638611111111111	3.62
383	EGFF	51.39666666666667	-3.3433333333333333	4.15
384	EGFH	51.60527777777778	-4.067777777777778	5.52
385	EGGD	51.3825	-2.718888888888889	3.75
386	EGGP	53.33361111111111	-2.8497222222222223	2.98
387	EGGW	51.87444444444444	-0.3683333333333333	1.35
388	EGHD	50.422777777777775	-4.105833333333333	4.73
389	EGHH	50.78	-1.8425000000000002	2.47
390	EGHI	50.95	-1.3566666666666667	2.45
391	EGHL	51.184999999999995	-1.0322222222222222	2.7
392	EGJB	49.43472222222222	-2.6019444444444444	6.97
393	EGJJ	49.20777777777778	-2.1952777777777777	7.43
394	EGKA	50.83555555555556	-0.2972222222222222	2.7
395	EGKB	51.33083333333334	0.0325	2.93
396	EGKK	51.14805555555556	-0.19027777777777777	2.92
397	EGLC	51.505	0.05416666666666667	2.43
398	EGLF	51.27583333333333	-0.7761111111111112	2.4
399	EGLK	51.323888888888895	-0.8475	2.39
